diag,proc,msp,din
B083,49651,04511,
B084,49659,04512,
B085,27125,04513,
B0860,27130,04520,
B0861,27132,04521,
B0862,27134,04522,
B0869,27137,04523,
B0870,27138,04590,
B0871,27236,04591,
B0872,33935,04592,
B0879,33945,04593,
B088,58150,0460,
B09,58152,0461,
B1001,58180,04611,
B1009,58200,04619,
B1081,58210,0462,
B1082,58240,0463,
B1089,58541,04671,
B150,58542,04672,
B159,58543,04679,
B160,58544,0468,
B161,58548,0469,
B162,58550,0470,
B169,58552,0471,
B170,58553,0478,
B1710,58554,0479,
B1711,58570,048,
B172,58571,0490,
B178,58572,0491,
B179,58573,0498,
B180,58575,0499,
B181,58951,0500,
B182,58953,0501,
B188,58954,0502,
B189,58956,0509,
B190,59525,0510,
B1910,27438,05101,
B1911,27440,05102,
B1920,27441,0511,
B1921,27442,0512,
B199,27443,0519,
B20,27445,0520,
B250,27446,0521,
B251,27447,0522,
B252,27486,0527,
B258,27487,0528,
B259,50340,0529,
B260,50360,0530,
B261,50365,05310,
B262,50380,05311,
B263,22220,05312,
B2681,22222,05313,
B2682,22224,05314,
B2683,22856,05319,
B2684,22857,05320,
B2685,22861,05321,
B2689,22862,05322,
B269,22867,05329,
B2700,62287,05371,
B2701,62351,05379,
B2702,62380,0538,
B2709,63001,0539,
B2710,63003,0540,
B2711,63005,05410,
B2712,63011,05411,
B2719,63012,05412,
B2780,63015,05413,
B2781,63016,05419,
B2782,63017,0542,
B2789,63020,0543,
B2790,63030,05440,
B2791,63035,05441,
B2792,63040,05442,
B2799,63042,05443,
B300,63045,05444,
B301,63046,05449,
B302,63047,0545,
B303,63048,0546,
B308,63050,05471,
B309,63051,05472,
B330,63055,05473,
B331,63056,05474,
B3320,63064,05479,
B3321,63075,0548,
B3322,63077,0549,
B3323,63081,0550,
B3324,63082,0551,
B333,63085,0552,
B334,63086,05571,
B338,63087,05579,
B340,63088,0558,
B341,63090,0559,
B342,63091,05600,
B343,63101,05601,
B344,63102,05609,
B348,63103,05671,
B349,63170,05679,
B350,63172,0568,
B351,63173,0569,
B352,63180,0570,
B353,63182,0578,
B354,63185,0579,
B355,63190,05810,
B356,63191,05811,
B358,63197,05812,
B359,63200,05821,
B360,63250,05829,
B361,63251,05881,
B362,63252,05882,
B363,63265,05889,
B368,63266,05900,
B369,63267,05901,
B370,63268,05909,
B371,63270,05910,
B372,63271,05911,
B373,63272,05912,
B3731,63273,05919,
B3732,63275,05920,
B3741,63276,05921,
B3742,63277,05922,
B3749,63278,0598,
B375,63280,0599,
B376,63281,0600,
B377,63282,0601,
B3781,63283,0609,
B3782,63285,061,
B3783,63286,0620,
B3784,63287,0621,
B3789,63290,0622,
B379,63709,0623,
B380,63740,0624,
B381,0202T,0625,
B382,0219T,0628,
B383,0220T,0629,
B384,0221T,0630,
B387,47135,0631,
B3881,31300,0632,
B3889,31360,0638,
B389,31365,0639,
B390,31367,064,
B391,31368,0650,
B392,31370,0651,
B393,31375,0652,
B394,31380,0653,
B395,31382,0654,
B399,31390,0658,
B400,31395,0659,
B401,31400,0660,
B402,31420,0661,
B403,31551,0662,
B407,31552,0663,
B4081,31553,06640,
B4089,31554,06641,
B409,31560,06642,
B410,31561,06649,
B417,31580,0668,
B418,31584,0669,
B419,31587,0700,
